Price,Close,High,Low,Open,Volume
Ticker,BAC,BAC,BAC,BAC,BAC
Date,,,,,
2022-01-03,42.412715911865234,42.69742791036659,41.310609131522305,41.41163608271637,58587900
2022-01-04,44.07506561279297,44.479169960854264,43.20256416469346,43.22093302190097,74606700
2022-01-05,43.33114242553711,44.424063147168894,43.31277356842969,44.2128265456855,57791600
2022-01-06,44.20364761352539,44.231199149769864,43.34032877384844,44.06588292529988,52040900
2022-01-07,45.16798400878906,45.28737982272395,44.13935258277608,44.22201068419237,59082600
2022-01-10,44.938377380371094,45.99456381477997,44.39650839720931,45.83843029242776,66839500
2022-01-11,45.195533752441406,45.2322714635058,44.6720336320271,44.99348334858914,40454400
2022-01-12,44.87409210205078,45.35167188394402,44.70877588895306,45.15880063299581,41378000
2022-01-13,44.78224563598633,45.45269663620422,44.66285332394853,44.92919298453382,46337500
2022-01-14,44.001590728759766,44.2954854407161,43.34032587510735,43.643406767531815,72953300
2022-01-18,42.4861946105957,44.010774790657685,42.293326856711694,43.94648553936302,65877400
2022-01-19,42.65150833129883,44.61693398156279,42.56885022683212,44.44243159241016,84451800
2022-01-20,42.01779556274414,43.21174315125853,41.93513746412002,42.88111075676203,46265300
2022-01-21,41.25550842285156,42.26577457470718,41.01672027990467,41.85248403547085,71303600
2022-01-24,40.91569519042969,41.04427369664291,39.11558909644144,40.31872305393948,90672700
2022-01-25,41.72390365600586,41.852482150532644,40.254430142126544,40.676903339429195,73555300
2022-01-26,42.15555953979492,42.66987347527766,41.56776667945606,42.04534640776212,63735800
2022-01-27,41.76063919067383,42.93621794043602,41.41163793552529,42.58721668528749,63402400
2022-01-28,42.12800979614258,42.14637865378843,40.82385243479915,41.632064653709946,51048300
2022-01-31,42.37598419189453,42.49538001504698,41.531037759742105,41.806563617900444,44793700
2022-02-01,43.1107177734375,43.25766512042041,42.155561769799114,42.440270283859135,40326600
2022-02-02,43.06480026245117,43.12908951208386,42.522931227331874,42.90867022862932,41125600
2022-02-03,42.642333984375,43.432177469456555,42.5688585422735,43.3678882093687,35879900
2022-02-04,44.341407775878906,44.71796061104477,42.87193415169543,43.239304309492034,60297100
2022-02-07,44.552642822265625,44.782248286931704,44.07506653884137,44.59856671799992,44824800
2022-02-08,45.3516731262207,45.93946256511276,44.94756525935635,45.14043651558771,49560500
2022-02-09,45.25982666015625,45.72822375540532,45.03022120266195,45.20472359259841,33861100
2022-02-10,45.04859161376953,46.02212004839063,44.78224843304753,45.627198367596314,47082800
2022-02-11,44.010772705078125,45.40677431639713,43.62503721558931,44.662854871382635,61056000
2022-02-14,43.55156326293945,44.25874852113603,43.11072118708341,44.10261848538554,44791900
2022-02-15,43.891380310058594,44.42406315222929,43.689326385355265,44.08424805445654,42397600
2022-02-16,43.79034423828125,44.30466161985354,43.45052921119805,43.56992150232155,36664600
2022-02-17,42.31169509887695,43.43217089684939,42.20148545590468,43.16582771479015,49442400
2022-02-18,42.21066665649414,42.74335300197923,41.99024737825989,42.31169361881037,37856500
2022-02-22,41.84330368041992,42.229039202778836,41.36572386452206,41.48511619087035,51905600
2022-02-23,41.12692642211914,42.34842907817457,40.934058688058094,42.201481732675525,45704900
2022-02-24,40.043190002441406,40.11666542981711,38.61963688029864,39.49213831112847,80484800
2022-02-25,41.34735107421875,41.650428455324665,40.070745295179215,40.23606150432834,68530700
2022-02-28,40.59425735473633,40.64936043826959,39.89625459962875,40.15341516895892,69955300
